,334-361110,334-361111,334-361113,334-361282,334-361283,334-361285,334-361286,337-361055,337-361060,337-361061,337-361062,337-361063,337-361065,337-361066,337-361068,337-361069,337-361070,337-361273,337-361274,337-361275,337-361276,337-361277,337-361278
0,Mlp_relu: 0.821,LLN: 0.5799158780231335,Mlp_relu: 0.8374,Mlp_sigm: 0.6552,Mlp_sigm: 0.6983122362869199,Mlp_sigm: 0.7624,Mlp_sigm: 0.6720257234726688,LLN: 0.7844497607655503,Mlp_relu: 0.8122,SK_randomForest: 0.8136,Mlp_relu: 0.9452815226011102,Mlp_relu: 0.8795966785290629,Mlp_sigm: 0.8450956937799043,SK_randomForest: 0.7940287226001512,LLN: 0.9302,LLN: 0.6978,Mlp_relu: 0.5609884332281808,LLN: 0.6028,Mlp_sigm: 0.761,LLN: 0.7010247136829415,Mlp_sigm: 0.7546511627906977,Mlp_sigm: 0.8574,LLN: 0.7288
1,LLN: 0.8076,Mlp_relu: 0.576235541535226,Mlp_sigm: 0.8078,Mlp_relu: 0.6526,LLN: 0.6968053044002411,LLN: 0.7264,LLN: 0.6631832797427653,Mlp_relu: 0.7789473684210526,LLN: 0.7948,Mlp_relu: 0.803,Mlp_sigm: 0.8509119746233148,Mlp_sigm: 0.8760379596678529,LLN: 0.8418062200956937,LLN: 0.7887377173091459,Mlp_sigm: 0.9294,Mlp_relu: 0.6894,LLN: 0.5588853838065194,Mlp_sigm: 0.601,Mlp_relu: 0.754,Mlp_relu: 0.6962025316455697,LLN: 0.7290697674418605,baseline: 0.8558,Mlp_sigm: 0.7232
2,Mlp_sigm: 0.8076,Mlp_sigm: 0.5688748685594112,LLN: 0.7926,LLN: 0.6518,Mlp_relu: 0.6962025316455697,Mlp_relu: 0.7206,Mlp_relu: 0.6631832797427653,Mlp_sigm: 0.7753588516746411,Mlp_sigm: 0.7934,baseline: 0.7796,LLN: 0.8298969072164949,LLN: 0.8706998813760379,Mlp_relu: 0.8385167464114832,Mlp_relu: 0.7860922146636432,Mlp_relu: 0.9286,Mlp_sigm: 0.6484,Mlp_sigm: 0.5557308096740273,LCN: 0.5994,LLN: 0.7478,SK_randomForest: 0.6889692585895117,Mlp_relu: 0.727906976744186,Mlp_relu: 0.855,Mlp_relu: 0.7192
3,LCN: 0.7366,LCN: 0.5499474237644585,LCN: 0.7796,SK_randomForest: 0.6506,LCN: 0.6880650994575045,SK_decisionTree: 0.7132,LCN: 0.6583601286173634,baseline: 0.7753588516746411,LCN: 0.7398,Mlp_sigm: 0.7734,LCN: 0.5939730372720063,LCN: 0.8010083036773428,LCN: 0.7840909090909091,Mlp_sigm: 0.7845804988662132,LCN: 0.89,LCN: 0.6078,LCN: 0.5546792849631966,Mlp_relu: 0.5994,LCN: 0.7226,Mlp_sigm: 0.6859553948161543,LCN: 0.5511627906976744,LLN: 0.851,LCN: 0.6796
4,SK_decisionTree: nan,SK_decisionTree: nan,SK_decisionTree: nan,baseline: 0.6448,baseline: 0.6805304400241109,SK_randomForest: 0.7132,SK_decisionTree: nan,SK_randomForest: 0.7703349282296651,SK_decisionTree: nan,LLN: 0.7644,SK_decisionTree: nan,SK_decisionTree: nan,SK_decisionTree: nan,baseline: 0.780801209372638,SK_decisionTree: nan,SK_decisionTree: nan,SK_decisionTree: nan,baseline: 0.5732,SK_decisionTree: nan,baseline: 0.6705846895720313,SK_decisionTree: nan,LCN: 0.8134,SK_decisionTree: nan
5,SK_randomForest: nan,SK_randomForest: nan,SK_randomForest: nan,LCN: 0.621,SK_randomForest: 0.6726943942133815,baseline: 0.6258,SK_randomForest: nan,LCN: 0.7511961722488039,SK_randomForest: nan,SK_decisionTree: 0.7378,SK_randomForest: nan,SK_randomForest: nan,SK_randomForest: nan,LCN: 0.7739984882842026,SK_randomForest: nan,SK_randomForest: nan,SK_randomForest: nan,SK_decisionTree: 0.5538,SK_randomForest: nan,LCN: 0.6540084388185654,SK_randomForest: nan,SK_randomForest: 0.798,SK_randomForest: nan
6,baseline: nan,baseline: nan,baseline: nan,SK_decisionTree: 0.5702,SK_decisionTree: 0.6088004822182037,LCN: 0.6008,baseline: nan,SK_decisionTree: 0.7282296650717703,baseline: nan,LCN: 0.6852,baseline: nan,baseline: nan,baseline: nan,SK_decisionTree: 0.7426303854875284,baseline: nan,baseline: nan,baseline: nan,SK_randomForest: 0.5306,baseline: nan,SK_decisionTree: 0.6353224834237492,baseline: nan,SK_decisionTree: 0.7946,baseline: nan
