,model,mean_performance
0,CatBoost,-0.05755157598365124
1,LCN,-0.05259104866692921
2,LGBM,-0.059053800460713624
3,LLN,-0.06186947528525366
4,Mlp_relu,-0.06442160377660333
5,Mlp_sigm,-0.054770727780099504
6,SK_decisionTree,-0.07367912100485352
7,SK_gradBoost,-0.019581295388164
8,SK_histGradBoost,-0.0667007253257389
9,SK_randomForest,-0.05590924115035223
10,XGBoost,-0.052509646557829415
