,335-361093,335-361094,335-361096,335-361097,335-361098,335-361099,335-361101,335-361102,335-361103,335-361104,335-361287,335-361288,335-361289,335-361291,335-361292,335-361293,335-361294,336-361072,336-361073,336-361074,336-361076,336-361077,336-361078,336-361079,336-361080,336-361081,336-361082,336-361083,336-361084,336-361085,336-361086,336-361087,336-361088,336-361279,336-361280,336-361281
0,Mlp_sigm: 0.5117122271173005,Mlp_relu: 12.160058373762862,SK_decisionTree: 0.1003228153603551,baseline: 0.14263364304737472,LLN: 0.7881722290747317,LLN: 177.33244732704728,Mlp_relu: 0.5928759666899863,Mlp_sigm: 0.506431991925699,Mlp_sigm: 0.6601104268981179,Mlp_relu: 0.9957247480676259,LCN: 0.034704669143205094,Mlp_relu: 3.217259182161524,rforestry_lintree: 0.08330150311647179,baseline: 0.6046423604095151,LLN: 0.8015885912123298,Mlp_sigm: 1.9352101361222551,Mlp_relu: 0.5236468394704693,LLN: 18.417747960633143,LLN: 41.554218218585376,SK_decisionTree: 0.002086179528042714,LLN: 0.856744729120734,SK_decisionTree: 0.00015837704339614921,rforestry_lintree: 0.00589851873717903,rforestry_lintree: 0.5746046806249265,rforestry_lintree: 0.00016665005621779728,LCN: 0.7440229107523476,LLN: 177.5098643825886,rforestry_lintree: 0.0001638371952007579,baseline: 0.18739748829435166,baseline: 0.01803735670510211,baseline: 0.0001641079998150904,Mlp_relu: 0.5549103195317044,Mlp_sigm: 34.13781452962938,Mlp_sigm: 0.034710599316596535,LCN: 3.2316434816181623,LCN: 3.153027995557839
1,LLN: 0.5144498612076583,LLN: 12.181241507059957,rforestry_tree: 0.10220609634577514,rforestry_tree: 8.277183000374041,Mlp_sigm: 0.7889952300450903,Mlp_relu: 177.61067192387398,Mlp_sigm: 0.5946598610641805,LLN: 0.5164481153268558,LLN: 0.6662168674210676,LLN: 1.0828447279324476,Mlp_sigm: 0.03474577882429947,LLN: 3.2297479085897014,SK_decisionTree: 0.08440136880309218,rforestry_tree: 3.0294076357898363,Mlp_relu: 0.8071734721301024,LLN: 1.9365512616981173,LLN: 0.5507940737266281,LCN: 18.511544414535706,Mlp_relu: 41.605785437075184,baseline: 0.0021322381137822985,Mlp_sigm: 0.8581654098898147,baseline: 0.00016162632819146332,baseline: 0.2240011717410992,SK_randomForest: 0.582675792409432,SK_randomForest: 0.00039621562043182674,Mlp_relu: 0.7684936887001682,Mlp_relu: 177.62778190995348,SK_randomForest: 0.00017104441286905754,SK_randomForest: 0.18790399145752587,SK_randomForest: 0.018278934107266616,rforestry_tree: 0.00018433342075300214,LLN: 0.5559648929685365,LLN: 34.24231851018743,LCN: 0.034730810644689206,Mlp_relu: 3.231887671822585,Mlp_sigm: 3.153500558587275
2,Mlp_relu: 0.5145143627427095,LCN: 12.196897668839426,rforestry_lintree: 0.10252930537352736,SK_randomForest: 8.453017164285633,LCN: 0.7941705025429835,LCN: 177.75067576348337,LCN: 0.5967346266007618,LCN: 0.5208467163909649,Mlp_relu: 0.6686089108382517,LCN: 1.0910921227733765,baseline: 0.034861730146162465,LCN: 3.242246328532552,rforestry_tree: 0.1866718656107037,rforestry_lintree: 3.0315993847028304,Mlp_sigm: 0.8075946772435397,Mlp_relu: 1.9367691015028123,LCN: 0.5557988008479346,Mlp_sigm: 18.51472670553008,Mlp_sigm: 41.82624114407351,rforestry_tree: 0.00216188706499099,Mlp_relu: 0.8587411797305132,rforestry_lintree: 0.00016414689210783766,SK_randomForest: 0.22497081862265653,SK_decisionTree: 0.5835457839956453,rforestry_tree: 0.08207900071935714,LLN: 0.7925693276463731,LCN: 177.66227727242776,baseline: 0.0817903956386612,rforestry_tree: 0.1883935185396898,rforestry_lintree: 0.018435296231319356,SK_decisionTree: 0.0002291622815876051,Mlp_sigm: 0.5565609791310268,Mlp_relu: 34.39268543634587,Mlp_relu: 0.03486866181524069,LLN: 3.23861239848784,LLN: 3.1541550737282997
3,LCN: 0.5165526686031099,Mlp_sigm: 12.332013308705669,baseline: 0.10856590779332131,SK_decisionTree: 10.287583252945199,Mlp_relu: 0.7943544354241776,Mlp_sigm: 178.7608552210886,LLN: 0.6028175637767648,Mlp_relu: 0.5241535185977729,LCN: 0.6717476613224435,Mlp_sigm: 1.100360403840971,Mlp_relu: 0.03498631207837314,Mlp_sigm: 3.256913680903059,SK_randomForest: 0.19347940767160496,SK_decisionTree: 3.033985559006303,LCN: 0.808371213798805,LCN: 1.9375047376021022,Mlp_sigm: 0.5585982315844041,Mlp_relu: 18.55968189361519,LCN: 41.82787985546393,SK_randomForest: 0.0021691688796970296,LCN: 0.860260801691487,SK_randomForest: 0.00016648783474506102,rforestry_tree: 0.22502223625378198,baseline: 0.5898677659160629,baseline: 0.0825192776950609,Mlp_sigm: 0.7953557135752473,Mlp_sigm: 178.28209629509914,rforestry_tree: 0.08385936613931881,SK_decisionTree: 0.1894835922196109,rforestry_tree: 0.01877161706835074,SK_randomForest: 0.00024073839376436326,LCN: 0.5605732981339006,LCN: 34.46163974998596,LLN: 0.05386594599398953,Mlp_sigm: 3.247691728601389,Mlp_relu: 3.155288247605292
4,SK_decisionTree: nan,SK_decisionTree: nan,SK_randomForest: 0.11420757047424654,LLN: 12.09204152580195,SK_decisionTree: nan,SK_decisionTree: nan,SK_decisionTree: nan,SK_decisionTree: nan,SK_decisionTree: nan,SK_decisionTree: nan,LLN: 0.04889989108877862,SK_decisionTree: nan,baseline: 0.2433694527292023,SK_randomForest: 3.035793702229233,SK_decisionTree: nan,SK_decisionTree: nan,SK_decisionTree: nan,SK_decisionTree: nan,SK_decisionTree: nan,rforestry_lintree: 0.0025344897788021205,SK_decisionTree: nan,rforestry_tree: 0.00017452261979305423,SK_decisionTree: 0.22628091835377612,rforestry_tree: 0.595880855554042,SK_decisionTree: 0.08635874379948287,SK_decisionTree: nan,SK_decisionTree: nan,SK_decisionTree: 0.0926337734991974,rforestry_lintree: 0.2064048764234053,SK_decisionTree: 0.019211252557264344,rforestry_lintree: 0.0004084853656144078,SK_decisionTree: nan,SK_decisionTree: nan,SK_decisionTree: nan,SK_decisionTree: nan,SK_decisionTree: nan
5,SK_randomForest: nan,SK_randomForest: nan,LLN: 0.9885777266222615,LCN: 12.210520126424283,SK_randomForest: nan,SK_randomForest: nan,SK_randomForest: nan,SK_randomForest: nan,SK_randomForest: nan,SK_randomForest: nan,SK_decisionTree: nan,SK_randomForest: nan,Mlp_relu: 423.6700883352517,Mlp_relu: 3.1511912076580946,SK_randomForest: nan,SK_randomForest: nan,SK_randomForest: nan,SK_randomForest: nan,SK_randomForest: nan,Mlp_sigm: 0.006591541618685511,SK_randomForest: nan,LCN: 0.000377141926507343,LCN: 0.5491985550663465,LLN: 0.8694188390630507,Mlp_relu: 0.9869580966978543,SK_randomForest: nan,SK_randomForest: nan,LLN: 0.5926019964269482,Mlp_relu: 0.5175444681992499,Mlp_relu: 0.05145002111843684,Mlp_relu: 0.550036393392028,SK_randomForest: nan,SK_randomForest: nan,SK_randomForest: nan,SK_randomForest: nan,SK_randomForest: nan
6,baseline: nan,baseline: nan,Mlp_sigm: 0.9889830558895225,Mlp_sigm: 12.230675226818274,baseline: nan,baseline: nan,baseline: nan,baseline: nan,baseline: nan,baseline: nan,SK_randomForest: nan,baseline: nan,LLN: 423.9212412111476,LLN: 3.151212846294094,baseline: nan,baseline: nan,baseline: nan,baseline: nan,baseline: nan,LLN: 0.0066363330756752555,baseline: nan,Mlp_sigm: 0.00040293916072832735,Mlp_relu: 0.5549050025571454,Mlp_sigm: 0.8696318534788281,LLN: 0.9895068624296085,baseline: nan,baseline: nan,LCN: 0.5966945465285554,LLN: 0.517586963506123,LLN: 0.05150329792732495,LLN: 0.5507423441246996,baseline: nan,baseline: nan,baseline: nan,baseline: nan,baseline: nan
7,rforestry_lintree: nan,rforestry_lintree: nan,Mlp_relu: 0.9926351603665451,Mlp_relu: 12.250941026316037,rforestry_lintree: nan,rforestry_lintree: nan,rforestry_lintree: nan,rforestry_lintree: nan,rforestry_lintree: nan,rforestry_lintree: nan,rforestry_lintree: nan,rforestry_lintree: nan,LCN: 424.269777087645,LCN: 3.153153212754729,rforestry_lintree: nan,rforestry_lintree: nan,rforestry_lintree: nan,rforestry_lintree: nan,rforestry_lintree: nan,LCN: 0.006664623028744874,rforestry_lintree: nan,Mlp_relu: 0.00041117316245853976,LLN: 0.5565052068523292,LCN: 0.8737602306416445,Mlp_sigm: 0.9932100328517125,rforestry_lintree: nan,rforestry_lintree: nan,Mlp_relu: 0.6013199949068043,LCN: 0.5212961492989329,Mlp_sigm: 0.05169466277822955,LCN: 0.5557953423018351,rforestry_lintree: nan,rforestry_lintree: nan,rforestry_lintree: nan,rforestry_lintree: nan,rforestry_lintree: nan
8,rforestry_tree: nan,rforestry_tree: nan,LCN: 0.995471954747701,rforestry_lintree: nan,rforestry_tree: nan,rforestry_tree: nan,rforestry_tree: nan,rforestry_tree: nan,rforestry_tree: nan,rforestry_tree: nan,rforestry_tree: nan,rforestry_tree: nan,Mlp_sigm: 425.16614399549735,Mlp_sigm: 3.1546995679483762,rforestry_tree: nan,rforestry_tree: nan,rforestry_tree: nan,rforestry_tree: nan,rforestry_tree: nan,Mlp_relu: 0.006728634794737766,rforestry_tree: nan,LLN: 0.0006657670090636716,Mlp_sigm: 0.5579731835344317,Mlp_relu: 0.8766471481930445,LCN: 0.995060014064998,rforestry_tree: nan,rforestry_tree: nan,Mlp_sigm: 0.6170200651946529,Mlp_sigm: 0.5220560091159308,LCN: 0.05213445250905502,Mlp_sigm: 0.5563289907711467,rforestry_tree: nan,rforestry_tree: nan,rforestry_tree: nan,rforestry_tree: nan,rforestry_tree: nan
