,model,334-361282,334-361285,337-361055,334-361283,337-361066,337-361061,337-361273,337-361277,337-361275
0,LCN,0.6433346666666666,0.57039108,0.7714835244919607,0.7041032995298566,0.7664647046355285,0.6768900746666666,0.615689816,0.8384005680000001,0.7012759598311364
1,LLN,0.706291104,0.770284752,0.8550053188648001,0.7589951934413673,0.860322535553792,0.844435528,0.63679356,0.9296230106666666,0.7608016223634142
2,Mlp_relu,0.6913465520000001,0.7622261893333333,0.8532104118495456,0.7463356515317053,0.8571388198066382,0.8534940106666667,0.6334950960000001,0.9303660453333333,0.7295300637301689
3,Mlp_sigm,0.702033152,0.7269530853333334,0.853284143372786,0.7503500974888344,0.8514374440462336,0.7889289359999999,0.6339702053333334,0.91525368,0.7441397517186653
4,SK_decisionTree,0.6143480586666666,0.7069209013333333,0.7846694825362667,0.663976243704767,0.7389221302585589,0.768821328,0.572670736,0.7695691306666667,0.6903444088739487
5,SK_randomForest,0.698367584,0.8118677173333333,0.8431604511496226,0.7356574782880092,0.8437661719596716,0.8282203093333333,0.5999492,0.9284547146666667,0.7413406673712942
6,baseline,0.679827456,0.8151106453333334,0.8442624863594392,0.7543665902330952,0.8437253415405522,0.8301838773333333,0.6282029173333333,0.9190608746666666,0.7503914752890422
