,334-361282,334-361285,337-361055,334-361283,337-361066,337-361061,337-361273,337-361277,337-361275
0,Mlp_sigm: 0.6552,baseline: 0.7788,LLN: 0.7844497607655503,SK_randomForest: 0.7037371910789633,baseline: 0.7981859410430839,baseline: 0.8264,baseline: 0.6054,baseline: 0.8818,LLN: 0.7010247136829415
1,baseline: 0.6548,Mlp_sigm: 0.7624,Mlp_relu: 0.7811004784688995,baseline: 0.7019288728149488,SK_randomForest: 0.7940287226001512,SK_randomForest: 0.8136,SK_randomForest: 0.6042,SK_randomForest: 0.8702,baseline: 0.7010247136829415
2,SK_randomForest: 0.6534,SK_randomForest: 0.7604,baseline: 0.7791866028708134,Mlp_sigm: 0.6983122362869199,LLN: 0.7887377173091459,Mlp_relu: 0.803,LLN: 0.6028,Mlp_sigm: 0.8574,Mlp_relu: 0.6962025316455697
3,Mlp_relu: 0.6526,LLN: 0.7264,SK_randomForest: 0.7767942583732057,LLN: 0.6971066907775768,Mlp_sigm: 0.7879818594104309,Mlp_sigm: 0.7734,SK_decisionTree: 0.602,Mlp_relu: 0.855,SK_randomForest: 0.694695599758891
4,LLN: 0.6518,Mlp_relu: 0.7256,Mlp_sigm: 0.7753588516746411,Mlp_relu: 0.6962025316455697,Mlp_relu: 0.7868480725623582,LLN: 0.7644,Mlp_sigm: 0.601,LLN: 0.851,SK_decisionTree: 0.6862567811934901
5,SK_decisionTree: 0.6264,SK_decisionTree: 0.7254,SK_decisionTree: 0.7672248803827751,LCN: 0.6880650994575045,SK_decisionTree: 0.7758881330309901,SK_decisionTree: 0.7506,LCN: 0.5994,SK_decisionTree: 0.8354,Mlp_sigm: 0.6859553948161543
6,LCN: 0.621,LCN: 0.6008,LCN: 0.7511961722488039,SK_decisionTree: 0.6829415310427969,LCN: 0.7739984882842026,LCN: 0.6852,Mlp_relu: 0.5994,LCN: 0.8134,LCN: 0.6540084388185654
