,model,334-361282,334-361285,337-361055,334-361283,337-361066,337-361061,337-361273,337-361277,337-361275
0,LCN,0.65443472,0.6282094,0.8054135093061057,0.735051944187385,0.7953003406788095,0.7349876399999999,0.6218024,0.8712869599999999,0.7162023972116219
1,LLN,0.70925824,0.80693456,0.8571754309654083,0.7581993808045036,0.8597018046321577,0.84971376,0.6373344000000001,0.9306416399999999,0.7588836314315289
2,Mlp_relu,0.70869552,0.8209272,0.8574732721320483,0.761260932295794,0.8622961740335674,0.87911456,0.63542976,0.9445855999999999,0.7596277414987787
3,Mlp_sigm,0.7149832,0.86504344,0.8570128888990637,0.761618090594674,0.8588842440478333,0.8447256,0.6368314399999999,0.9318072,0.7506028635884199
4,SK_decisionTree,0.6789118399999999,0.8150313600000001,0.8388245461413428,0.7378151068150381,0.8524971591055166,0.82548864,0.6293263199999999,0.9145805600000001,0.733323377954504
5,SK_randomForest,0.71183072,0.8514286400000001,0.8559016506032371,0.7657248660293045,0.8704957753656598,0.8972634399999999,0.64164528,0.9497093600000002,0.7656469306731398
6,baseline,0.7159348799999999,0.8691939199999998,0.8600719992674161,0.7664974978935655,0.870410934172947,0.9073460799999999,0.6445599200000001,0.9553939199999999,0.7660709426108744
