,334-361282,334-361285,337-361055,334-361283,337-361066,337-361061,337-361273,337-361277,337-361275
0,baseline: 0.65664,baseline: 0.7726399999999999,baseline: 0.7793141945773525,baseline: 0.7032750653003818,baseline: 0.7957168052406147,baseline: 0.8171466666666666,baseline: 0.6060266666666667,baseline: 0.88152,baseline: 0.7023307213180631
1,SK_randomForest: 0.65332,SK_randomForest: 0.7600133333333333,LLN: 0.7780861244019139,SK_randomForest: 0.6985332529636328,SK_randomForest: 0.7943058704963467,SK_randomForest: 0.8047466666666667,SK_randomForest: 0.6045066666666667,SK_randomForest: 0.8696133333333333,SK_randomForest: 0.6988748241912799
2,Mlp_sigm: 0.6482399999999999,SK_decisionTree: 0.7228266666666666,Mlp_sigm: 0.7747527910685805,LLN: 0.6959815149688567,Mlp_relu: 0.7847568657092466,Mlp_relu: 0.7772266666666667,LLN: 0.6026,LLN: 0.8516933333333333,LLN: 0.6980108499095842
3,LLN: 0.6481866666666666,LLN: 0.7077733333333334,Mlp_relu: 0.7742105263157895,Mlp_sigm: 0.6934297769740808,LLN: 0.783723859914336,LLN: 0.7663733333333334,Mlp_relu: 0.6020133333333334,Mlp_relu: 0.8516933333333333,Mlp_sigm: 0.6880650994575046
4,Mlp_relu: 0.63964,Mlp_relu: 0.6912133333333333,SK_randomForest: 0.773365231259968,Mlp_relu: 0.690717299578059,Mlp_sigm: 0.7774250440917108,SK_decisionTree: 0.7465733333333334,Mlp_sigm: 0.6009066666666667,Mlp_sigm: 0.8362933333333333,SK_decisionTree: 0.6817560779586097
5,SK_decisionTree: 0.6203866666666666,Mlp_sigm: 0.6670133333333333,SK_decisionTree: 0.7524401913875598,SK_decisionTree: 0.6768133413703034,SK_decisionTree: 0.7709498614260519,Mlp_sigm: 0.7272266666666667,LCN: 0.5966400000000001,SK_decisionTree: 0.8339066666666667,Mlp_relu: 0.6732569821177417
6,LCN: 0.6066666666666667,LCN: 0.5580266666666667,LCN: 0.7347527910685805,LCN: 0.658569419328913,LCN: 0.7091206853111615,LCN: 0.6696000000000001,SK_decisionTree: 0.59024,LCN: 0.7855466666666667,LCN: 0.6535664054651397
