,334-361282,334-361285,337-361055,334-361283,337-361066,337-361061,337-361273,337-361277,337-361275
0,baseline: 0.7159348799999999,baseline: 0.8691939199999998,baseline: 0.8600719992674161,baseline: 0.7664974978935655,SK_randomForest: 0.8704957753656598,baseline: 0.9073460799999999,baseline: 0.6445599200000001,baseline: 0.9553939199999999,baseline: 0.7660709426108744
1,Mlp_sigm: 0.7149832,Mlp_sigm: 0.86504344,Mlp_relu: 0.8574732721320483,SK_randomForest: 0.7657248660293045,baseline: 0.870410934172947,SK_randomForest: 0.8972634399999999,SK_randomForest: 0.64164528,SK_randomForest: 0.9497093600000002,SK_randomForest: 0.7656469306731398
2,SK_randomForest: 0.71183072,SK_randomForest: 0.8514286400000001,LLN: 0.8571754309654083,Mlp_sigm: 0.761618090594674,Mlp_relu: 0.8622961740335674,Mlp_relu: 0.87911456,LLN: 0.6373344000000001,Mlp_relu: 0.9445855999999999,Mlp_relu: 0.7596277414987787
3,LLN: 0.70925824,Mlp_relu: 0.8209272,Mlp_sigm: 0.8570128888990637,Mlp_relu: 0.761260932295794,LLN: 0.8597018046321577,LLN: 0.84971376,Mlp_sigm: 0.6368314399999999,Mlp_sigm: 0.9318072,LLN: 0.7588836314315289
4,Mlp_relu: 0.70869552,SK_decisionTree: 0.8150313600000001,SK_randomForest: 0.8559016506032371,LLN: 0.7581993808045036,Mlp_sigm: 0.8588842440478333,Mlp_sigm: 0.8447256,Mlp_relu: 0.63542976,LLN: 0.9306416399999999,Mlp_sigm: 0.7506028635884199
5,SK_decisionTree: 0.6789118399999999,LLN: 0.80693456,SK_decisionTree: 0.8388245461413428,SK_decisionTree: 0.7378151068150381,SK_decisionTree: 0.8524971591055166,SK_decisionTree: 0.82548864,SK_decisionTree: 0.6293263199999999,SK_decisionTree: 0.9145805600000001,SK_decisionTree: 0.733323377954504
6,LCN: 0.65443472,LCN: 0.6282094,LCN: 0.8054135093061057,LCN: 0.735051944187385,LCN: 0.7953003406788095,LCN: 0.7349876399999999,LCN: 0.6218024,LCN: 0.8712869599999999,LCN: 0.7162023972116219
