,model,334-361282,334-361285,337-361055,334-361283,337-361066,337-361061,337-361273,337-361277,337-361275
0,LCN,0.61036,0.56656,0.7388516746411483,0.6627486437613019,0.7209372637944067,0.6744,0.5974999999999999,0.7949200000000001,0.6574141048824593
1,LLN,0.64798,0.71408,0.7785645933014355,0.6950874020494273,0.7834089191232049,0.76654,0.6024,0.8522000000000001,0.6976793248945148
2,Mlp_relu,0.64352,0.712,0.7764354066985646,0.6933694996986136,0.787037037037037,0.78268,0.6021,0.85422,0.6773960216998192
3,Mlp_sigm,0.65068,0.70238,0.776267942583732,0.6952079566003617,0.7795918367346939,0.75032,0.60102,0.8433999999999999,0.691500904159132
4,SK_decisionTree,0.58406,0.67598,0.734976076555024,0.6314647377938518,0.7497732426303855,0.72448,0.5587,0.7151799999999999,0.6537974683544304
5,SK_randomForest,0.64486,0.73008,0.7657894736842106,0.6773056057866185,0.7715419501133787,0.7702600000000001,0.58054,0.8387600000000001,0.6911392405063291
6,baseline,0.63852,0.7026600000000001,0.7694976076555025,0.695539481615431,0.7702947845804988,0.76316,0.59894,0.83668,0.6927968655816757
