,model,334-361282,334-361285,337-361055,334-361283,337-361066,337-361061,337-361273,337-361277,337-361275
0,LCN,0.621,0.6008,0.7511961722488039,0.6880650994575045,0.7739984882842026,0.6852,0.5994,0.8134,0.6540084388185654
1,LLN,0.6518,0.7264,0.7844497607655503,0.6907775768535263,0.7887377173091459,0.7644,0.6028,0.851,0.7010247136829415
2,Mlp_relu,0.6526,0.7256,0.7811004784688995,0.6962025316455697,0.7868480725623582,0.803,0.5994,0.855,0.6962025316455697
3,Mlp_sigm,0.6552,0.7624,0.7753588516746411,0.6983122362869199,0.7845804988662132,0.7734,0.601,0.8574,0.6859553948161543
4,SK_decisionTree,0.5702,0.7132,0.7282296650717703,0.6088004822182037,0.7426303854875284,0.7378,0.5538,0.7946,0.6353224834237492
5,SK_randomForest,0.6506,0.7132,0.7703349282296651,0.6726943942133815,0.7940287226001512,0.8136,0.5306,0.798,0.6889692585895117
6,baseline,0.6448,0.6258,0.7753588516746411,0.6805304400241109,0.780801209372638,0.7796,0.5732,0.8558,0.6705846895720313
