,334-361282,334-361285,337-361055,334-361283,337-361066,337-361061,337-361273,337-361277,337-361275
0,baseline: 0.7160437759999999,baseline: 0.8635280853333334,baseline: 0.8601825507657792,baseline: 0.765133913773097,baseline: 0.8711554989566724,baseline: 0.8982527573333333,baseline: 0.6421837813333333,baseline: 0.9549503786666667,baseline: 0.7651016859591493
1,SK_randomForest: 0.7084953333333334,SK_randomForest: 0.8481872373333332,LLN: 0.8550053188648001,SK_randomForest: 0.7596021990487164,SK_randomForest: 0.8692030469700268,SK_randomForest: 0.8902816106666667,SK_randomForest: 0.6394017813333334,SK_randomForest: 0.9461413386666667,LLN: 0.7608016223634142
2,LLN: 0.706291104,SK_decisionTree: 0.8023695146666666,SK_randomForest: 0.8549441252108086,LLN: 0.7589951934413673,LLN: 0.860322535553792,Mlp_relu: 0.8534940106666667,LLN: 0.63679356,Mlp_relu: 0.9303660453333333,SK_randomForest: 0.7607383717965813
3,Mlp_sigm: 0.702033152,LLN: 0.770284752,Mlp_sigm: 0.853284143372786,Mlp_sigm: 0.7503500974888344,Mlp_relu: 0.8571388198066382,LLN: 0.844435528,Mlp_sigm: 0.6339702053333334,LLN: 0.9296230106666666,Mlp_sigm: 0.7441397517186653
4,Mlp_relu: 0.6913465520000001,Mlp_relu: 0.7622261893333333,Mlp_relu: 0.8532104118495456,Mlp_relu: 0.7463356515317053,Mlp_sigm: 0.8514374440462336,SK_decisionTree: 0.8235835253333333,Mlp_relu: 0.6334950960000001,Mlp_sigm: 0.91525368,Mlp_relu: 0.7295300637301689
5,SK_decisionTree: 0.6578362186666666,Mlp_sigm: 0.7269530853333334,SK_decisionTree: 0.8211618857932129,SK_decisionTree: 0.7229739017685088,SK_decisionTree: 0.8353841287361785,Mlp_sigm: 0.7889289359999999,LCN: 0.615689816,SK_decisionTree: 0.8992370293333333,SK_decisionTree: 0.7252439098091124
6,LCN: 0.6433346666666666,LCN: 0.57039108,LCN: 0.7714835244919607,LCN: 0.7041032995298566,LCN: 0.7664647046355285,LCN: 0.6768900746666666,SK_decisionTree: 0.6114815253333333,LCN: 0.8384005680000001,LCN: 0.7012759598311364
